source_id,schema_cols,total_rows,dropped_ambiguous_or_missing_label,valid_label_rows,normal_rows,attack_rows,sampled_rows
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2_iec104_only.pcap_Flow.csv,84,134,0,134,0,134,134
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3.pcap_Flow.csv,84,17321,0,17321,2003,15318,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3_iec104_only.pcap_Flow.csv,84,201,0,201,0,201,201
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1.pcap_Flow.csv,84,23444,0,23444,23272,172,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1_iec104_only.pcap_Flow.csv,84,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2.pcap_Flow.csv,84,23551,0,23551,23381,170,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2_iec104_only.pcap_Flow.csv,84,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3.pcap_Flow.csv,84,23238,0,23238,23105,133,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3_iec104_only.pcap_Flow.csv,84,171,0,171,104,67,171
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4.pcap_Flow.csv,84,23436,0,23436,23302,134,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4_iec104_only.pcap_Flow.csv,84,172,0,172,104,68,172
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5.pcap_Flow.csv,84,23658,0,23658,23524,134,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6.pcap_Flow.csv,84,23158,0,23158,23024,134,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7.pcap_Flow.csv,84,23529,0,23529,23395,134,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester\20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester.pcap_Flow.csv,84,23562,0,23562,23562,0,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester\20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester_iec104_only.pcap_Flow.csv,84,725,0,725,725,0,725
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_120/iec104_CICFLOWMETER_test_final.csv,84,2028,0,2028,169,1859,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_120/iec104_CICFLOWMETER_train_final.csv,84,4800,0,4800,400,4400,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_15/test_15_cicflow.csv,84,4692,0,4692,391,4301,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_15/train_15_cicflow.csv,84,10968,0,10968,914,10054,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_180/test_180_cicflow.csv,84,1536,0,1536,128,1408,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_180/train_180_cicflow.csv,84,3588,0,3588,299,3289,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_30/test_30_cicflow.csv,84,3420,0,3420,285,3135,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_30/train_30_cicflow.csv,84,7980,0,7980,665,7315,800
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\Balanced_IEC104_Train_Test_CSV_Files.7z::Balanced_IEC104_Train_Test_CSV_Files/iec104_train_test_csvs/tests_cic_60/test_60_CICIFlow.csv,84,2520,0,2520,210,2310,673
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7_iec104_only.pcapiec104_network_flow_leayer.csv,119,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester_iec104_only.pcapiec104_network_flow_leayer.csv,119,637,0,637,0,637,637
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1_iec104_only.pcapiec104_network_flow_leayer.csv,119,234,0,234,0,234,234
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2_iec104_only.pcapiec104_network_flow_leayer.csv,119,135,0,135,0,135,135
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3_iec104_only.pcapiec104_network_flow_leayer.csv,119,201,0,201,0,201,201
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1_iec104_only.pcapiec104_network_flow_leayer.csv,119,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2_iec104_only.pcapiec104_network_flow_leayer.csv,119,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3_iec104_only.pcapiec104_network_flow_leayer.csv,119,171,0,171,104,67,171
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4_iec104_only.pcapiec104_network_flow_leayer.csv,119,172,0,172,104,68,172
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5_iec104_only.pcapiec104_network_flow_leayer.csv,119,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6_iec104_only.pcapiec104_network_flow_leayer.csv,119,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7_iec104_only.pcapiec104_network_flow_leayer.csv,119,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester\20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester_iec104_only.pcapiec104_network_flow_leayer.csv,119,725,0,725,725,0,725
