source_id,schema_cols,total_rows,dropped_ambiguous_or_missing_label,valid_label_rows,normal_rows,attack_rows,sampled_rows
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5.pcap_Flow.csv,84,19324,0,19324,4456,14868,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6.pcap_Flow.csv,84,18892,0,18892,4412,14480,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7.pcap_Flow.csv,84,18765,0,18765,4286,14479,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester.pcap_Flow.csv,84,19160,0,19160,5851,13309,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester_iec104_only.pcap_Flow.csv,84,637,0,637,0,637,637
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1.pcap_Flow.csv,84,17232,0,17232,2005,15227,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1_iec104_only.pcap_Flow.csv,84,234,0,234,0,234,234
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2.pcap_Flow.csv,84,17156,0,17156,2001,15155,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2_iec104_only.pcap_Flow.csv,84,134,0,134,0,134,134
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3.pcap_Flow.csv,84,17321,0,17321,2003,15318,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3/20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3_iec104_only.pcap_Flow.csv,84,201,0,201,0,201,201
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1.pcap_Flow.csv,84,23444,0,23444,23272,172,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1_iec104_only.pcap_Flow.csv,84,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2.pcap_Flow.csv,84,23551,0,23551,23381,170,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2_iec104_only.pcap_Flow.csv,84,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3.pcap_Flow.csv,84,23238,0,23238,23105,133,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3_iec104_only.pcap_Flow.csv,84,171,0,171,104,67,171
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4.pcap_Flow.csv,84,23436,0,23436,23302,134,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4_iec104_only.pcap_Flow.csv,84,172,0,172,104,68,172
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5.pcap_Flow.csv,84,23658,0,23658,23524,134,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6.pcap_Flow.csv,84,23158,0,23158,23024,134,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7.pcap_Flow.csv,84,23529,0,23529,23395,134,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7/20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver7_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester/20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester.pcap_Flow.csv,84,23562,0,23562,23562,0,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1.7z::20200426_UOWM_IEC104_Dataset_c_ci_na_1/20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester/20200426_UOWM_IEC104_Dataset_c_ci_na_1_qtester_iec104_only.pcap_Flow.csv,84,725,0,725,725,0,725
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1.pcap_Flow.csv,84,17232,0,17232,2005,15227,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker1_iec104_only.pcap_Flow.csv,84,234,0,234,0,234,234
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2.pcap_Flow.csv,84,17156,0,17156,2001,15155,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker2_iec104_only.pcap_Flow.csv,84,134,0,134,0,134,134
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3.pcap_Flow.csv,84,17321,0,17321,2003,15318,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_attacker3_iec104_only.pcap_Flow.csv,84,201,0,201,0,201,201
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1.pcap_Flow.csv,84,23444,0,23444,23272,172,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver1_iec104_only.pcap_Flow.csv,84,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2.pcap_Flow.csv,84,23551,0,23551,23381,170,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver2_iec104_only.pcap_Flow.csv,84,221,0,221,104,117,221
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3.pcap_Flow.csv,84,23238,0,23238,23105,133,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver3_iec104_only.pcap_Flow.csv,84,171,0,171,104,67,171
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4.pcap_Flow.csv,84,23436,0,23436,23302,134,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver4_iec104_only.pcap_Flow.csv,84,172,0,172,104,68,172
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5.pcap_Flow.csv,84,23658,0,23658,23524,134,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver5_iec104_only.pcap_Flow.csv,84,170,0,170,103,67,170
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6\20200426_UOWM_IEC104_Dataset_c_ci_na_1_iecserver6.pcap_Flow.csv,84,23158,0,23158,23024,134,3000
